year,month,decimal_date,co2,quality
1958,March,1958.208,315.71,1
1958,April,1958.292,317.45,1
1958,May,1958.375,317.5,1
1958,June,1958.458,-99.99,0
1958,July,1958.542,315.86,1
1958,August,1958.625,314.93,1
1958,September,1958.708,313.2,1
1958,October,1958.792,-99.99,0
1958,November,1958.875,313.33,1
1958,December,1958.958,314.67,1
1959,January,1959.042,315.62,1
1959,February,1959.125,316.38,1
1959,March,1959.208,316.71,1
1959,April,1959.292,317.72,1
1959,May,1959.375,318.29,1
1959,June,1959.458,318.15,1
1959,July,1959.542,316.54,1
1959,August,1959.625,314.8,1
1959,September,1959.708,313.84,1
1959,October,1959.792,313.26,1
1959,November,1959.875,314.8,1
1959,December,1959.958,315.58,1
1960,January,1960.042,316.43,1
1960,February,1960.125,316.97,1
1960,March,1960.208,317.58,1
1960,April,1960.292,319.02,1
1960,May,1960.375,320.03,1
1960,June,1960.458,319.59,1
1960,July,1960.542,318.18,1
1960,August,1960.625,315.91,1
1960,September,1960.708,314.16,1
1960,October,1960.792,313.83,1
1960,November,1960.875,315,1
1960,December,1960.958,316.19,1
1961,January,1961.042,316.93,1
1961,February,1961.125,317.7,1
1961,March,1961.208,318.54,1
1961,April,1961.292,319.48,1
1961,May,1961.375,320.58,1
1961,June,1961.458,319.77,1
1961,July,1961.542,318.57,1
1961,August,1961.625,316.79,1
1961,September,1961.708,314.8,1
1961,October,1961.792,315.38,1
1961,November,1961.875,316.1,1
1961,December,1961.958,317.01,1
1962,January,1962.042,317.94,1
1962,February,1962.125,318.56,1
1962,March,1962.208,319.68,1
1962,April,1962.292,320.63,1
1962,May,1962.375,321.01,1
1962,June,1962.458,320.55,1
1962,July,1962.542,319.58,1
1962,August,1962.625,317.4,1
1962,September,1962.708,316.26,1
1962,October,1962.792,315.42,1
1962,November,1962.875,316.69,1
1962,December,1962.958,317.69,1
1963,January,1963.042,318.74,1
1963,February,1963.125,319.08,1
1963,March,1963.208,319.86,1
1963,April,1963.292,321.39,1
1963,May,1963.375,322.25,1
1963,June,1963.458,321.47,1
