Time,Site,WS,WD,T,RH,P,Precip
2020/1/1 0:00,G3674,3.1,91,15.9,92,1008.1,0
2020/1/1 1:00,G3674,2.9,108,15.7,91,1008.1,0
2020/1/1 2:00,G3674,2.8,106,15.5,92,1007.8,0
2020/1/1 3:00,G3674,3.9,98,15.3,92,1007.5,0
2020/1/1 4:00,G3674,4.6,79,15.2,91,1007.4,0
2020/1/1 5:00,G3674,4.3,87,15.2,92,1007.6,0
2020/1/1 6:00,G3674,5.3,84,15.2,89,1008.2,0
2020/1/1 7:00,G3674,3.7,95,15.2,89,1008.8,0
2020/1/1 8:00,G3674,3,99,15.1,86,1009.6,0
2020/1/1 9:00,G3674,2.9,100,15.3,86,1009.9,0
2020/1/1 10:00,G3674,5.2,83,16.4,80,1010.1,0
2020/1/1 11:00,G3674,5.8,81,16.5,79,1009.9,0
2020/1/1 12:00,G3674,4.9,88,16.6,79,1008.9,0
2020/1/1 13:00,G3674,2.4,104,19.2,68,1008.1,0
2020/1/1 14:00,G3674,2.1,104,18.9,70,1007.6,0
2020/1/1 15:00,G3674,1.6,96,17.8,74,1006.8,0
2020/1/1 16:00,G3674,2,61,16.9,77,1006.9,0
2020/1/1 17:00,G3674,1.6,114,16.3,83,1007,0
2020/1/1 18:00,G3674,1.5,109,15.9,85,1007,0
2020/1/1 19:00,G3674,1.7,108,15.8,86,1007.5,0
2020/1/1 20:00,G3674,2.1,118,16,86,1008,0
2020/1/1 21:00,G3674,1.9,116,16.1,87,1008.3,0
2020/1/1 22:00,G3674,3.1,111,16.1,86,1008.4,0
2020/1/1 23:00,G3674,2.4,144,16.2,85,1008.2,0
2020/1/2 0:00,G3674,2.5,99,16,85,1007.8,0
2020/1/2 1:00,G3674,2.3,119,15.8,84,1007.2,0
2020/1/2 2:00,G3674,2.5,128,15.9,85,1006.8,0
2020/1/2 3:00,G3674,2.7,112,15.9,85,1006.4,0
2020/1/2 4:00,G3674,4.5,84,15.5,86,1006.4,0
2020/1/2 5:00,G3674,5.5,76,15.4,85,1006.6,0
