Solar.Rad,Wind.Speed,Temperature,Pressure,Ozone,Month,Day
190,7.4,67,1004.5,41,5,1
118,8,72,994.6,36,5,2
149,12.6,74,999.1,12,5,3
313,11.5,62,997.2,18,5,4
299,8.6,65,996,23,5,7
99,13.8,59,995.1,19,5,8
19,20.1,61,1007,8,5,9
256,9.7,69,999.6,16,5,12
290,9.2,66,994.3,11,5,13
274,10.9,68,999.4,14,5,14
65,13.2,58,995.2,18,5,15
334,11.5,64,1009.8,14,5,16
307,12,66,1000.7,34,5,17
78,18.4,57,1005.4,6,5,18
322,11.5,68,998.2,30,5,19
44,9.7,62,992.8,11,5,20
8,9.7,59,991.8,1,5,21
320,16.6,73,1001.7,11,5,22
25,9.7,61,997.4,4,5,23
92,12,61,997.6,32,5,24
13,12,67,999.9,23,5,28
252,14.9,81,1002.9,45,5,29
223,5.7,79,985.7,115,5,30
279,7.4,76,1002.6,37,5,31
127,9.7,82,1012.2,29,6,7
291,13.8,90,1005.4,71,6,9
323,11.5,87,993.7,39,6,10
148,8,82,1002.7,23,6,13
191,14.9,77,1008.9,21,6,16
284,20.7,72,1003.7,37,6,17
37,9.2,65,992.7,20,6,18
120,11.5,73,994.7,12,6,19
137,10.3,76,993.6,13,6,20
269,4.1,84,997.8,135,7,1
248,9.2,85,995.2,49,7,2
236,9.2,81,1007.8,32,7,3
175,4.6,83,995.8,64,7,5
314,10.9,83,1001.5,40,7,6
276,5.1,88,1002.1,77,7,7
267,6.3,92,993.9,97,7,8
272,5.7,92,1000.1,97,7,9
175,7.4,89,1000.1,85,7,10
264,14.3,73,999.7,10,7,12
175,14.9,81,1004.6,27,7,13
48,14.3,80,999.5,7,7,15
260,6.9,81,993,48,7,16
274,10.3,82,1004.5,35,7,17
285,6.3,84,990.6,61,7,18
187,5.1,87,1001.2,79,7,19
220,11.5,85,996,63,7,20
7,6.9,74,1002.9,16,7,21
294,8.6,86,998.4,80,7,24
223,8,85,988.1,108,7,25
81,8.6,82,1000.3,20,7,26
82,12,86,1009.2,52,7,27
213,7.4,88,999.6,82,7,28
275,7.4,86,1004.2,50,7,29
253,7.4,83,999.8,64,7,30
254,9.2,81,999.9,59,7,31
83,6.9,81,1003.8,39,8,1
24,13.8,81,994.8,9,8,2
77,7.4,82,989.9,16,8,3
255,4,89,991.6,122,8,7
229,10.3,90,1004,89,8,8
207,8,90,1000.3,110,8,9
192,11.5,86,996.1,44,8,12
273,11.5,82,994.8,28,8,13
157,9.7,80,999.3,65,8,14
71,10.3,77,1002.3,22,8,16
51,6.3,79,1002.5,59,8,17
115,7.4,76,997.6,23,8,18
244,10.9,78,999.6,31,8,19
190,10.3,78,1004.3,44,8,20
259,15.5,77,997.3,21,8,21
36,14.3,72,995.2,9,8,22
212,9.7,79,1000.4,45,8,24
238,3.4,81,1004.3,168,8,25
215,8,86,994.6,73,8,26
203,9.7,97,994.3,76,8,28
225,2.3,94,992,118,8,29
237,6.3,96,998.5,84,8,30
188,6.3,94,1001.4,85,8,31
167,6.9,91,996.6,96,9,1
197,5.1,92,996,78,9,2
183,2.8,93,1006,73,9,3
189,4.6,93,1005.7,91,9,4
95,7.4,87,1005.8,47,9,5
92,15.5,84,1001.3,32,9,6
252,10.9,80,1001.8,20,9,7
220,10.3,78,995.9,23,9,8
230,10.9,75,1002.3,21,9,9
259,9.7,73,1004.6,24,9,10
236,14.9,81,1003.7,44,9,11
259,15.5,76,994.3,21,9,12
238,6.3,77,994.6,28,9,13
24,10.9,71,1000.6,9,9,14
112,11.5,71,1004,13,9,15
237,6.9,78,1003.7,46,9,16
224,13.8,67,1000.1,18,9,17
27,10.3,76,1002.7,13,9,18
238,10.3,68,1002.5,24,9,19
201,8,82,999,16,9,20
238,12.6,64,999.1,13,9,21
14,9.2,71,1000.3,23,9,22
139,10.3,81,1002.5,36,9,23
49,10.3,69,996.1,7,9,24
20,16.6,63,999.9,14,9,25
193,6.9,70,1003.6,30,9,26
191,14.3,75,999.1,14,9,28
131,8,76,1001.4,18,9,29
223,11.5,68,1001,20,9,30
